Delivery_person_Age,Delivery_person_Ratings,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min),distance
24.0,5.0,Sunny,Medium,1,Snack,motorcycle,1.0,No,Metropolitian,16,20002.52025705942
35.0,4.3,Sandstorms,Low,0,Meal,motorcycle,1.0,No,Metropolitian,27,20002.520257046745
38.0,4.1,Sandstorms,Medium,0,Buffet,motorcycle,0.0,No,Metropolitian,36,20002.520257046745
27.0,4.9,Windy,Medium,1,Snack,scooter,1.0,No,Metropolitian,22,20002.520257046745
20.0,4.7,Cloudy,Jam,0,Buffet,motorcycle,0.0,Yes,,42,20002.520257046745
37.0,4.9,Cloudy,Jam,2,Buffet,scooter,1.0,No,Metropolitian,29,20002.520257042732
22.0,5.0,Sandstorms,Low,1,Drinks,motorcycle,1.0,No,Metropolitian,12,20002.520257042732
,,,,3,Meal,electric_scooter,1.0,No,Metropolitian,27,20002.520257042732
38.0,3.7,Sandstorms,Jam,2,Drinks,electric_scooter,3.0,No,Metropolitian,44,20002.52025703843
,,,,3,Snack,electric_scooter,1.0,No,Metropolitian,31,20002.52025703843
34.0,4.4,Stormy,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,51,20002.52025703843
35.0,5.0,Fog,Jam,1,Drinks,scooter,1.0,No,Metropolitian,37,20002.52025703843
29.0,4.4,Cloudy,Jam,2,Buffet,scooter,1.0,No,,36,20002.520257037824
20.0,4.8,Windy,Low,2,Snack,motorcycle,1.0,No,Metropolitian,15,20002.520257037824
26.0,4.6,Stormy,Medium,2,Drinks,scooter,1.0,No,Metropolitian,23,20002.520257037824
37.0,4.7,Stormy,Medium,1,Meal,motorcycle,1.0,No,Metropolitian,26,20002.520257032207
30.0,4.9,Cloudy,Jam,0,Snack,motorcycle,1.0,Yes,Metropolitian,53,20002.520257032207
37.0,4.9,Sandstorms,Low,2,Drinks,electric_scooter,1.0,No,Metropolitian,19,20002.52025703129
23.0,5.0,Sunny,Low,2,Meal,scooter,1.0,No,Urban,24,20002.52025703129
22.0,4.7,Sandstorms,Jam,2,Drinks,scooter,1.0,No,Metropolitian,26,20002.520257028576
38.0,5.0,Cloudy,Jam,2,Meal,motorcycle,1.0,No,Metropolitian,29,20002.520257028576
29.0,4.9,Windy,High,2,Snack,electric_scooter,1.0,No,Urban,13,20002.52025702837
20.0,4.9,Fog,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,40,20002.52025702837
30.0,4.8,Stormy,Low,2,Meal,scooter,1.0,No,Metropolitian,26,20002.520257028355
24.0,4.7,Stormy,Jam,1,Meal,scooter,0.0,No,Urban,28,20002.520257028355
28.0,4.8,Sunny,Jam,0,Snack,motorcycle,1.0,No,Urban,26,20002.520257028125
39.0,4.9,Windy,Jam,0,Snack,motorcycle,0.0,Yes,Semi-Urban,50,20002.520257028125
29.0,4.8,Stormy,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,20,20002.520257028125
33.0,3.9,Windy,Medium,2,Meal,electric_scooter,1.0,No,Metropolitian,32,20002.520257027973
35.0,3.6,Sunny,Jam,2,Buffet,electric_scooter,1.0,No,Metropolitian,32,20002.520257027973
28.0,4.5,Windy,Low,0,Buffet,motorcycle,1.0,No,Urban,19,20002.520257027798
30.0,4.4,Fog,Jam,2,Snack,scooter,2.0,No,Metropolitian,40,20002.520257027798
,,Sunny,Jam,1,Drinks,motorcycle,0.0,No,Metropolitian,28,20002.520257027798
35.0,4.6,Windy,Medium,0,Snack,motorcycle,,No,Metropolitian,31,20002.520257023803
25.0,5.0,Sandstorms,Jam,2,Buffet,scooter,0.0,No,Metropolitian,25,20002.520257023803
,,,,3,Meal,scooter,0.0,No,Metropolitian,37,20002.520257023803
26.0,4.7,Windy,Jam,2,Meal,electric_scooter,1.0,No,Metropolitian,26,20002.520257019383
37.0,4.9,Sunny,Low,2,Buffet,electric_scooter,1.0,No,Metropolitian,25,20002.520257019383
32.0,4.8,Sandstorms,High,1,Snack,scooter,1.0,No,Metropolitian,25,20002.520257017437
37.0,4.9,Sunny,High,1,Snack,scooter,1.0,No,Metropolitian,19,20002.520257017437
32.0,4.1,Fog,Jam,1,Snack,motorcycle,3.0,No,Metropolitian,44,20002.520257017437
20.0,4.7,Sunny,High,1,Drinks,motorcycle,0.0,No,Urban,16,20002.520257017437
28.0,4.8,Windy,Low,1,Buffet,motorcycle,0.0,,Metropolitian,11,20002.520257017288
37.0,4.8,Windy,Jam,2,Snack,electric_scooter,1.0,No,Metropolitian,28,20002.520257017288
30.0,4.7,Stormy,Low,1,Meal,scooter,1.0,No,Metropolitian,18,20002.520257017288
34.0,4.7,Sunny,Jam,2,Meal,scooter,1.0,No,Urban,19,20002.520257017288
20.0,5.0,Fog,Medium,1,Snack,motorcycle,1.0,No,Metropolitian,14,20002.52025699965
22.0,4.7,Cloudy,Low,0,Buffet,motorcycle,1.0,No,Urban,19,20002.52025699965
39.0,4.1,Cloudy,High,1,Buffet,scooter,1.0,No,Metropolitian,33,20002.520256255022
26.0,4.8,Windy,Jam,2,Buffet,scooter,1.0,No,Metropolitian,24,20002.52025624634
31.0,4.8,Sandstorms,Medium,0,Snack,motorcycle,0.0,No,Metropolitian,44,20002.52025624634
35.0,4.5,Sunny,Medium,0,Drinks,motorcycle,0.0,No,Metropolitian,28,20002.52025624097
22.0,4.7,Sandstorms,High,1,Meal,motorcycle,0.0,No,Urban,19,20002.52025624097
38.0,4.8,Sunny,High,2,Drinks,scooter,0.0,No,Metropolitian,19,20002.52025624097
22.0,2.8,Sunny,Low,2,Snack,electric_scooter,1.0,No,Metropolitian,37,20002.520256238895
24.0,4.8,Cloudy,Medium,1,Buffet,scooter,1.0,No,Metropolitian,13,20002.520256238895
30.0,4.3,Sandstorms,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,35,20002.520256238895
36.0,4.4,Cloudy,Medium,2,Meal,scooter,1.0,No,Metropolitian,42,20002.520256236596
38.0,4.6,Cloudy,Medium,0,Drinks,motorcycle,3.0,No,Metropolitian,46,20002.520256236596
34.0,5.0,Stormy,Low,2,Buffet,motorcycle,1.0,No,Metropolitian,20,20002.520256236596
24.0,4.7,Sunny,Medium,1,Drinks,scooter,1.0,No,Urban,12,20002.520256217802
21.0,5.0,Sunny,Jam,1,Meal,motorcycle,1.0,No,Urban,19,20002.520256217802
33.0,4.9,Sandstorms,Low,1,Buffet,motorcycle,1.0,No,Urban,24,20002.520256217802
30.0,4.8,Fog,Medium,0,Snack,motorcycle,1.0,No,Urban,27,20002.520256211184
22.0,4.7,Windy,Medium,2,Drinks,motorcycle,1.0,No,Urban,27,20002.520256211184
20.0,4.7,Fog,Medium,2,Snack,electric_scooter,0.0,No,Urban,10,20002.520256211184
25.0,4.7,Sunny,Jam,2,Snack,motorcycle,0.0,No,Metropolitian,10,20002.520256208547
25.0,4.9,Cloudy,Low,2,Snack,scooter,0.0,No,Urban,12,20002.520256208547
34.0,4.7,Stormy,Jam,0,Drinks,motorcycle,2.0,No,Metropolitian,41,20002.520256208547
21.0,4.7,Sandstorms,Low,0,Meal,motorcycle,1.0,No,Metropolitian,20,20002.520256208547
21.0,4.8,Windy,Jam,2,Meal,electric_scooter,0.0,No,Urban,12,20002.520256200485
22.0,4.6,Windy,Jam,2,Snack,scooter,1.0,No,Metropolitian,26,20002.520256200485
24.0,4.5,Cloudy,Low,1,Drinks,motorcycle,0.0,No,,16,20002.520256200485
28.0,4.6,Stormy,Medium,2,Buffet,electric_scooter,1.0,No,Metropolitian,19,20002.52025619676
27.0,5.0,Stormy,Jam,1,Meal,motorcycle,1.0,No,,23,20002.52025619676
23.0,4.6,Sandstorms,Jam,2,Buffet,motorcycle,1.0,No,Metropolitian,19,20002.52025619676
22.0,4.5,Sandstorms,Medium,0,Meal,motorcycle,1.0,No,Metropolitian,25,20002.52025619676
36.0,5.0,Sandstorms,Low,2,Meal,scooter,1.0,No,Urban,22,20002.52025619003
35.0,5.0,Sandstorms,Jam,1,Meal,motorcycle,0.0,No,Metropolitian,34,20002.52025619003
27.0,4.6,Fog,Low,0,Snack,motorcycle,1.0,No,Metropolitian,19,20002.52025619003
37.0,4.8,Stormy,Medium,2,Drinks,motorcycle,1.0,No,Metropolitian,30,20002.520256189728
33.0,4.7,Cloudy,Medium,0,Drinks,motorcycle,1.0,No,Metropolitian,29,20002.520256189728
33.0,4.9,Sunny,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,26,20002.520256177275
30.0,5.0,Sunny,Jam,2,Buffet,scooter,1.0,No,Metropolitian,20,20002.520256177275
22.0,4.9,Cloudy,Medium,0,Meal,motorcycle,1.0,No,Metropolitian,30,20002.520251727365
,,,,3,Meal,electric_scooter,1.0,No,Metropolitian,33,20002.520251719383
30.0,4.1,Sandstorms,Low,0,Drinks,motorcycle,0.0,No,Metropolitian,24,20002.520251676986
36.0,4.9,Fog,Medium,1,Meal,motorcycle,1.0,No,Metropolitian,18,20002.520251676986
33.0,4.8,Sunny,Low,1,Meal,scooter,1.0,No,Metropolitian,13,20002.520251676986
30.0,4.8,Windy,Jam,2,Buffet,motorcycle,1.0,No,Urban,26,20002.5202516745
22.0,4.9,Sunny,Jam,2,Drinks,electric_scooter,,No,Metropolitian,24,20002.5202516745
34.0,4.7,Stormy,Low,0,Snack,motorcycle,0.0,No,Metropolitian,21,20002.5202516745
31.0,4.6,Sandstorms,High,0,Meal,motorcycle,1.0,No,Metropolitian,36,20002.5202516745
35.0,4.4,Fog,Medium,2,Snack,scooter,0.0,No,Metropolitian,37,20002.5202516745
33.0,4.7,Cloudy,Medium,0,Drinks,motorcycle,1.0,No,Metropolitian,41,20002.520251672508
,,Sandstorms,High,2,Drinks,scooter,1.0,No,Metropolitian,32,20002.520251672508
32.0,5.0,Cloudy,Medium,0,Drinks,motorcycle,0.0,No,Metropolitian,42,20002.520251672508
33.0,4.6,Sandstorms,Low,1,Drinks,scooter,0.0,No,Urban,20,20002.520251672293
24.0,4.9,Cloudy,Jam,1,Snack,scooter,2.0,No,Metropolitian,37,20002.520251672293
20.0,4.3,Sunny,High,0,Meal,motorcycle,0.0,No,Metropolitian,46,20002.520251672293
35.0,4.8,Sunny,Low,2,Buffet,electric_scooter,0.0,No,Metropolitian,12,20002.520251672246
28.0,4.3,Stormy,Low,0,Meal,motorcycle,1.0,No,Metropolitian,15,20002.520251672246
26.0,4.7,Cloudy,Medium,0,Drinks,motorcycle,2.0,No,Metropolitian,35,20002.520251671245
23.0,4.9,Cloudy,Jam,1,Buffet,scooter,0.0,No,Metropolitian,26,20002.520251671245
31.0,4.9,Fog,Medium,0,Buffet,motorcycle,0.0,No,Urban,35,20002.520251671245
29.0,4.5,Stormy,Jam,1,Snack,scooter,0.0,No,Urban,19,20002.520251671245
,,Fog,High,1,Snack,motorcycle,1.0,No,Metropolitian,31,20002.520251671245
39.0,4.6,Sunny,Jam,1,Snack,scooter,0.0,No,Metropolitian,20,20002.520251671245
21.0,4.8,Cloudy,Low,2,Meal,scooter,1.0,No,Metropolitian,18,20002.520251671107
26.0,4.9,Fog,Low,0,Snack,motorcycle,1.0,No,Metropolitian,23,20002.520251671107
29.0,4.7,Sandstorms,High,1,Drinks,scooter,0.0,,Metropolitian,11,20002.520251671107
34.0,4.5,Stormy,Low,0,Meal,motorcycle,1.0,No,Urban,26,20002.520251669677
30.0,4.6,Sunny,Jam,1,Meal,motorcycle,0.0,No,Metropolitian,17,20002.520251669677
34.0,4.8,Sunny,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,20,20002.520251669677
33.0,4.7,Fog,Low,0,Meal,motorcycle,1.0,No,Metropolitian,35,20002.520251668342
23.0,4.8,Sunny,Jam,1,Drinks,scooter,1.0,No,Metropolitian,17,20002.520251668342
33.0,4.3,Windy,Low,0,Buffet,motorcycle,0.0,No,Metropolitian,27,20002.520251668342
23.0,4.6,Cloudy,Jam,1,Drinks,scooter,1.0,No,Metropolitian,32,20002.520251668342
31.0,5.0,Windy,High,2,Meal,scooter,1.0,No,Metropolitian,28,20002.520251666898
39.0,4.8,Cloudy,Medium,0,Snack,motorcycle,1.0,No,,34,20002.520251666898
20.0,4.7,Windy,Medium,2,Snack,electric_scooter,1.0,No,Urban,19,20002.520251666898
37.0,5.0,Sunny,Low,1,Meal,motorcycle,,No,Metropolitian,12,20002.52025139077
,,Stormy,Low,2,Snack,scooter,1.0,No,,14,20002.52025139077
31.0,4.8,Sunny,Jam,2,Buffet,electric_scooter,1.0,No,Metropolitian,27,20002.52025139077
22.0,4.7,Sandstorms,Low,2,Meal,scooter,1.0,No,Metropolitian,18,20002.52025139077
30.0,4.9,Windy,Low,2,Buffet,scooter,1.0,No,Metropolitian,25,20002.52025139077
38.0,4.7,Windy,Low,0,Meal,motorcycle,0.0,No,Metropolitian,26,20002.52025139077
34.0,4.1,Stormy,Jam,1,Buffet,scooter,0.0,No,Metropolitian,37,20002.52025139077
34.0,3.5,Sunny,Jam,2,Buffet,scooter,1.0,No,Metropolitian,31,20002.52025139077
28.0,4.8,Fog,Jam,1,Drinks,motorcycle,1.0,No,Metropolitian,40,20002.52025139077
27.0,5.0,Sunny,Jam,2,Meal,scooter,0.0,No,Urban,16,20002.52025139077
,,Fog,High,0,Drinks,motorcycle,1.0,No,Urban,28,20002.52025139077
22.0,4.3,Fog,Jam,1,Meal,scooter,0.0,No,Metropolitian,42,20002.52025139077
31.0,4.1,Cloudy,Jam,2,Drinks,motorcycle,1.0,No,Metropolitian,41,20002.52025139077
35.0,5.0,Cloudy,High,2,Meal,electric_scooter,1.0,No,Metropolitian,28,20002.520251342885
30.0,4.7,Sandstorms,High,2,Buffet,motorcycle,1.0,No,Urban,32,20002.520251342885
35.0,4.0,Stormy,Medium,2,Drinks,electric_scooter,0.0,No,Metropolitian,32,20002.520251342885
35.0,4.8,Fog,Jam,2,Meal,scooter,1.0,No,Metropolitian,38,20002.520251342885
24.0,4.7,Windy,Medium,2,Buffet,motorcycle,,No,Metropolitian,28,20002.520251342885
36.0,4.5,Fog,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,49,20002.520251342885
27.0,5.0,Windy,Low,0,Buffet,motorcycle,1.0,No,Urban,23,20002.520251342885
39.0,4.8,Sandstorms,Medium,2,Snack,scooter,0.0,No,Metropolitian,27,20002.520251342885
22.0,4.0,Stormy,Medium,0,Drinks,motorcycle,0.0,No,Metropolitian,32,20002.520251342885
39.0,4.4,Windy,Jam,0,Drinks,motorcycle,3.0,Yes,Metropolitian,54,20002.520251332953
29.0,4.9,Stormy,Low,1,Snack,motorcycle,1.0,No,Urban,11,20002.520251332953
39.0,4.1,Windy,Jam,2,Drinks,electric_scooter,1.0,No,Metropolitian,33,20002.520251332953
34.0,4.6,Cloudy,Low,0,Snack,motorcycle,1.0,No,Metropolitian,29,20002.520251332953
36.0,4.5,Sunny,High,2,Drinks,scooter,1.0,No,Urban,15,20002.520251332953
35.0,4.9,Sunny,Jam,2,Snack,electric_scooter,0.0,No,Urban,19,20002.520251332953
27.0,4.5,Sandstorms,Low,1,Drinks,scooter,0.0,No,Metropolitian,11,20002.520251332953
29.0,2.6,Sunny,Low,2,Buffet,electric_scooter,1.0,No,Metropolitian,31,20002.520251332953
,,Fog,Low,1,Buffet,motorcycle,1.0,No,Urban,30,20002.520251332953
30.0,4.3,Stormy,Medium,0,Drinks,motorcycle,0.0,No,Metropolitian,36,20002.520251332953
23.0,5.0,Stormy,Low,1,Meal,motorcycle,1.0,No,Urban,17,20002.520251332953
23.0,4.8,Cloudy,High,0,Drinks,motorcycle,1.0,No,Metropolitian,22,20002.520251332953
32.0,4.8,Sandstorms,Jam,1,Drinks,motorcycle,1.0,No,Metropolitian,29,20002.520251332953
26.0,4.2,Stormy,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,29,20002.520251332953
25.0,4.3,Windy,Medium,0,Meal,motorcycle,,No,,38,20002.520251332742
36.0,4.6,Sandstorms,High,1,Buffet,motorcycle,0.0,No,Metropolitian,30,20002.520251332742
23.0,4.6,Sandstorms,Jam,2,Meal,motorcycle,0.0,No,Metropolitian,20,20002.520251332742
24.0,4.6,Windy,Low,1,Drinks,scooter,1.0,No,Urban,16,20002.520251332742
26.0,4.6,Stormy,Jam,2,Buffet,scooter,1.0,No,Metropolitian,23,20002.520251332742
36.0,4.7,Stormy,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,23,20002.520251332742
31.0,5.0,Stormy,Jam,2,Snack,scooter,1.0,No,Metropolitian,34,20002.520251332742
37.0,4.2,Cloudy,Jam,0,Drinks,motorcycle,0.0,No,Metropolitian,34,20002.520251332742
38.0,4.8,Cloudy,Low,1,Snack,scooter,1.0,No,Metropolitian,25,20002.520251332742
26.0,4.6,Windy,Jam,0,Drinks,motorcycle,0.0,No,Metropolitian,16,20002.520251332742
20.0,4.9,Fog,Low,2,Meal,motorcycle,0.0,No,Urban,14,20002.520251332742
26.0,4.9,Cloudy,Jam,0,Meal,motorcycle,2.0,No,Metropolitian,42,20002.520251332742
35.0,4.4,Windy,Low,0,Drinks,motorcycle,0.0,No,Metropolitian,20,20002.520251332055
34.0,4.4,Cloudy,High,1,Snack,scooter,1.0,No,Metropolitian,39,20002.520251332055
22.0,4.9,Stormy,Medium,2,Buffet,electric_scooter,1.0,No,Metropolitian,20,20002.520251332055
25.0,4.5,Sunny,Jam,2,Drinks,motorcycle,0.0,No,Metropolitian,11,20002.520251332055
36.0,4.7,Sandstorms,Medium,2,Meal,scooter,0.0,No,Urban,28,20002.520251332055
34.0,4.7,Cloudy,Jam,2,Drinks,electric_scooter,2.0,Yes,Urban,41,20002.520251332055
37.0,4.8,Sunny,Low,1,Meal,scooter,1.0,No,Urban,29,20002.520251332055
26.0,4.8,Cloudy,Low,2,Buffet,scooter,1.0,No,Urban,16,20002.520251332055
28.0,4.2,Sunny,Jam,0,Meal,motorcycle,3.0,No,Metropolitian,49,20002.520251332055
25.0,4.7,Fog,Low,1,Buffet,motorcycle,0.0,,Metropolitian,10,20002.520251332055
32.0,4.9,Sunny,Low,2,Snack,motorcycle,1.0,No,,17,20002.520251332055
26.0,4.7,Cloudy,Medium,1,Drinks,motorcycle,1.0,No,Metropolitian,28,20002.520251332055
37.0,4.9,Sandstorms,Low,1,Buffet,motorcycle,1.0,No,Urban,15,20002.520251332055
31.0,4.7,Windy,Jam,0,Snack,motorcycle,0.0,No,Metropolitian,47,20002.520251332055
27.0,4.7,Stormy,Jam,2,Drinks,scooter,1.0,No,Metropolitian,15,20002.520251329926
39.0,4.8,Sunny,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,24,20002.520251329926
28.0,4.9,Stormy,Low,2,Snack,scooter,0.0,No,Urban,15,20002.520251329926
28.0,4.8,Cloudy,Medium,0,Drinks,motorcycle,1.0,No,Metropolitian,33,20002.520251329926
26.0,4.5,Cloudy,Jam,1,Snack,motorcycle,1.0,No,Metropolitian,26,20002.520251329926
39.0,4.3,Sandstorms,Low,0,Buffet,motorcycle,0.0,No,,22,20002.520251329926
26.0,4.5,Sandstorms,Jam,2,Drinks,motorcycle,1.0,No,Urban,14,20002.520251329926
30.0,3.7,Sandstorms,Jam,2,Meal,scooter,1.0,No,Metropolitian,33,20002.520251329926
33.0,4.4,Cloudy,Jam,2,Snack,scooter,0.0,No,Metropolitian,48,20002.520251329926
27.0,4.9,Stormy,Medium,1,Snack,scooter,1.0,No,Metropolitian,26,20002.520251329926
37.0,4.9,Sandstorms,High,2,Snack,scooter,0.0,No,Metropolitian,26,20002.520251329926
27.0,4.2,Sandstorms,Low,0,Meal,motorcycle,1.0,No,Metropolitian,24,20002.520251329177
39.0,4.8,Sandstorms,Medium,1,Drinks,scooter,0.0,No,Metropolitian,25,20002.520251329177
28.0,4.4,Sandstorms,Low,0,Meal,motorcycle,1.0,No,Urban,15,20002.520251329177
34.0,3.7,Fog,Low,1,Meal,motorcycle,2.0,No,Metropolitian,33,20002.520251329177
31.0,4.6,Fog,Low,2,Snack,electric_scooter,1.0,No,Metropolitian,15,20002.520251329177
38.0,4.9,Fog,Jam,1,Snack,motorcycle,0.0,No,Metropolitian,31,20002.520251329177
34.0,4.8,Stormy,Low,2,Buffet,motorcycle,1.0,No,Metropolitian,23,20002.520251329177
,,,,3,Snack,electric_scooter,2.0,No,Urban,40,20002.520251329177
,,Cloudy,Medium,1,Snack,scooter,1.0,No,Urban,19,20002.520251329177
37.0,4.4,Sunny,Medium,0,Snack,motorcycle,1.0,No,Metropolitian,39,20002.520251329177
28.0,4.9,Windy,Low,0,Snack,motorcycle,1.0,No,Metropolitian,15,20002.520251329177
37.0,4.5,Fog,Jam,0,Meal,motorcycle,2.0,No,Metropolitian,51,20002.520251329177
37.0,4.9,Sandstorms,Jam,1,Buffet,motorcycle,1.0,No,Urban,29,20002.520251329177
37.0,4.6,Windy,High,2,Snack,scooter,1.0,No,Metropolitian,25,20002.520251327653
22.0,4.8,Stormy,Low,2,Meal,motorcycle,0.0,No,Metropolitian,19,20002.520251327653
39.0,4.7,Cloudy,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,21,20002.520251327653
26.0,4.8,Windy,Low,2,Snack,scooter,0.0,No,Metropolitian,19,20002.520251327653
35.0,4.3,Windy,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,46,20002.520251327653
30.0,4.8,Cloudy,Medium,0,Drinks,motorcycle,0.0,No,Metropolitian,27,20002.520251327653
27.0,4.7,Fog,Medium,0,Buffet,motorcycle,1.0,No,Urban,28,20002.520251327653
30.0,4.6,Stormy,Jam,0,Buffet,motorcycle,3.0,Yes,Metropolitian,54,20002.520251327653
30.0,5.0,Fog,High,0,Snack,motorcycle,0.0,No,Metropolitian,27,20002.520251327653
23.0,4.6,Fog,High,1,Buffet,motorcycle,2.0,No,Metropolitian,33,20002.520251327653
32.0,4.7,Fog,Jam,1,Buffet,scooter,1.0,No,Metropolitian,29,20002.520251327653
