,Unnamed: 0,Delivery_person_Age,Delivery_person_Ratings,Delivery_location_latitude,Delivery_location_longitude,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min),distance
0,21963,24.0,5.0,13.056279,80.204568,Sunny,Medium,1,Snack,motorcycle,1.0,No,Metropolitian,16,20002.52025705942
1,10410,35.0,4.3,11.061753,77.046241,Sandstorms,Low,0,Meal,motorcycle,1.0,No,Metropolitian,27,20002.520257046745
2,38301,38.0,4.1,21.22276,72.848059,Sandstorms,Medium,0,Buffet,motorcycle,0.0,No,Metropolitian,36,20002.520257046745
3,44997,27.0,4.9,10.087144,76.426783,Windy,Medium,1,Snack,scooter,1.0,No,Metropolitian,22,20002.520257046745
4,16861,20.0,4.7,11.100375,77.04295,Cloudy,Jam,0,Buffet,motorcycle,0.0,Yes,,42,20002.520257046745
5,7720,37.0,4.9,19.180083,72.967385,Cloudy,Jam,2,Buffet,scooter,1.0,No,Metropolitian,29,20002.520257042732
6,22162,22.0,5.0,21.247729,72.858726,Sandstorms,Low,1,Drinks,motorcycle,1.0,No,Metropolitian,12,20002.520257042732
7,13431,,,26.543042,80.377833,,,3,Meal,electric_scooter,1.0,No,Metropolitian,27,20002.520257042732
8,28737,38.0,3.7,0.11,0.11,Sandstorms,Jam,2,Drinks,electric_scooter,3.0,No,Metropolitian,44,20002.52025703843
9,41391,,,26.489003,80.336344,,,3,Snack,electric_scooter,1.0,No,Metropolitian,31,20002.52025703843
10,13705,34.0,4.4,22.834648,75.984377,Stormy,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,51,20002.52025703843
11,41447,35.0,5.0,22.787021,75.944167,Fog,Jam,1,Drinks,scooter,1.0,No,Metropolitian,37,20002.52025703843
12,27512,29.0,4.4,19.956106,75.420775,Cloudy,Jam,2,Buffet,scooter,1.0,No,,36,20002.520257037824
13,44248,20.0,4.8,12.304747,76.645861,Windy,Low,2,Snack,motorcycle,1.0,No,Metropolitian,15,20002.520257037824
14,7755,26.0,4.6,13.032161,77.656014,Stormy,Medium,2,Drinks,scooter,1.0,No,Metropolitian,23,20002.520257037824
15,25267,37.0,4.7,13.064179,77.745797,Stormy,Medium,1,Meal,motorcycle,1.0,No,Metropolitian,26,20002.520257032207
16,39689,30.0,4.9,19.266269,72.926721,Cloudy,Jam,0,Snack,motorcycle,1.0,Yes,Metropolitian,53,20002.520257032207
17,15031,37.0,4.9,19.306269,72.966721,Sandstorms,Low,2,Drinks,electric_scooter,1.0,No,Metropolitian,19,20002.52025703129
18,10307,23.0,5.0,11.01185,77.021082,Sunny,Low,2,Meal,scooter,1.0,No,Urban,24,20002.52025703129
19,39568,22.0,4.7,18.664382,73.908206,Sandstorms,Jam,2,Drinks,scooter,1.0,No,Metropolitian,26,20002.520257028576
20,42595,38.0,5.0,23.393017,85.3772,Cloudy,Jam,2,Meal,motorcycle,1.0,No,Metropolitian,29,20002.520257028576
21,21105,29.0,4.9,18.546562,73.906485,Windy,High,2,Snack,electric_scooter,1.0,No,Urban,13,20002.52025702837
22,22739,20.0,4.9,17.541668,78.518321,Fog,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,40,20002.52025702837
23,37144,30.0,4.8,11.053009,77.02544,Stormy,Low,2,Meal,scooter,1.0,No,Metropolitian,26,20002.520257028355
24,32367,24.0,4.7,18.64421,73.968429,Stormy,Jam,1,Meal,scooter,0.0,No,Urban,28,20002.520257028355
25,44899,28.0,4.8,11.096298,77.052076,Sunny,Jam,0,Snack,motorcycle,1.0,No,Urban,26,20002.520257028125
26,2408,39.0,4.9,0.07,0.07,Windy,Jam,0,Snack,motorcycle,0.0,Yes,Semi-Urban,50,20002.520257028125
27,38238,29.0,4.8,30.975814,75.876976,Stormy,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,20,20002.520257028125
28,342,33.0,3.9,22.812634,75.976959,Windy,Medium,2,Meal,electric_scooter,1.0,No,Metropolitian,32,20002.520257027973
29,37322,35.0,3.6,13.069166,77.730709,Sunny,Jam,2,Buffet,electric_scooter,1.0,No,Metropolitian,32,20002.520257027973
30,21967,28.0,4.5,13.168616,80.374151,Windy,Low,0,Buffet,motorcycle,1.0,No,Urban,19,20002.520257027798
31,13832,30.0,4.4,0.13,0.13,Fog,Jam,2,Snack,scooter,2.0,No,Metropolitian,40,20002.520257027798
32,38034,,,19.2713,72.926191,Sunny,Jam,1,Drinks,motorcycle,0.0,No,Metropolitian,28,20002.520257027798
33,14916,35.0,4.6,25.561646,81.942796,Windy,Medium,0,Snack,motorcycle,,No,Metropolitian,31,20002.520257023803
34,7685,25.0,5.0,0.11,0.11,Sandstorms,Jam,2,Buffet,scooter,0.0,No,Metropolitian,25,20002.520257023803
35,20194,,,22.817021,75.974167,,,3,Meal,scooter,0.0,No,Metropolitian,37,20002.520257023803
36,13458,26.0,4.7,21.233343,72.852731,Windy,Jam,2,Meal,electric_scooter,1.0,No,Metropolitian,26,20002.520257019383
37,40412,37.0,4.9,21.283493,72.911953,Sunny,Low,2,Buffet,electric_scooter,1.0,No,Metropolitian,25,20002.520257019383
38,25461,32.0,4.8,19.247222,73.012281,Sandstorms,High,1,Snack,scooter,1.0,No,Metropolitian,25,20002.520257017437
39,7665,37.0,4.9,12.973284,77.655428,Sunny,High,1,Snack,scooter,1.0,No,Metropolitian,19,20002.520257017437
40,36516,32.0,4.1,21.305104,72.934342,Fog,Jam,1,Snack,motorcycle,3.0,No,Metropolitian,44,20002.520257017437
41,33886,20.0,4.7,22.34,73.19,Sunny,High,1,Drinks,motorcycle,0.0,No,Urban,16,20002.520257017437
42,27558,28.0,4.8,30.973244,75.901817,Windy,Low,1,Buffet,motorcycle,0.0,,Metropolitian,11,20002.520257017288
43,9595,37.0,4.8,17.50971,78.418855,Windy,Jam,2,Snack,electric_scooter,1.0,No,Metropolitian,28,20002.520257017288
44,37624,30.0,4.7,22.802634,75.966959,Stormy,Low,1,Meal,scooter,1.0,No,Metropolitian,18,20002.520257017288
45,9722,34.0,4.7,11.101278,77.075017,Sunny,Jam,2,Meal,scooter,1.0,No,Urban,19,20002.520257017288
46,33581,20.0,5.0,17.495894,78.415467,Fog,Medium,1,Snack,motorcycle,1.0,No,Metropolitian,14,20002.52025699965
47,42416,22.0,4.7,22.803839,75.947429,Cloudy,Low,0,Buffet,motorcycle,1.0,No,Urban,19,20002.52025699965
48,22362,39.0,4.1,23.397804,85.365146,Cloudy,High,1,Buffet,scooter,1.0,No,Metropolitian,33,20002.520256255022
49,32554,26.0,4.8,18.653934,74.005367,Windy,Jam,2,Buffet,scooter,1.0,No,Metropolitian,24,20002.52025624634
50,43306,31.0,4.8,13.139645,80.332268,Sandstorms,Medium,0,Snack,motorcycle,0.0,No,Metropolitian,44,20002.52025624634
51,9693,35.0,4.5,19.115838,72.882658,Sunny,Medium,0,Drinks,motorcycle,0.0,No,Metropolitian,28,20002.52025624097
52,8467,22.0,4.7,23.414989,85.375486,Sandstorms,High,1,Meal,motorcycle,0.0,No,Urban,19,20002.52025624097
53,40278,38.0,4.8,30.382509,78.101187,Sunny,High,2,Drinks,scooter,0.0,No,Metropolitian,19,20002.52025624097
54,22825,22.0,2.8,26.995287,75.884592,Sunny,Low,2,Snack,electric_scooter,1.0,No,Metropolitian,37,20002.520256238895
55,15460,24.0,4.8,27.191694,78.064714,Cloudy,Medium,1,Buffet,scooter,1.0,No,Metropolitian,13,20002.520256238895
56,5860,30.0,4.3,15.576162,73.905364,Sandstorms,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,35,20002.520256238895
57,22802,36.0,4.4,26.983987,75.822891,Cloudy,Medium,2,Meal,scooter,1.0,No,Metropolitian,42,20002.520256236596
58,16266,38.0,4.6,11.136686,77.081736,Cloudy,Medium,0,Drinks,motorcycle,3.0,No,Metropolitian,46,20002.520256236596
59,30494,34.0,5.0,22.863838,76.007429,Stormy,Low,2,Buffet,motorcycle,1.0,No,Metropolitian,20,20002.520256236596
60,45124,24.0,4.7,30.412686,78.11889,Sunny,Medium,1,Drinks,scooter,1.0,No,Urban,12,20002.520256217802
61,24387,21.0,5.0,21.276438,72.884115,Sunny,Jam,1,Meal,motorcycle,1.0,No,Urban,19,20002.520256217802
62,10059,33.0,4.9,11.091852,77.066268,Sandstorms,Low,1,Buffet,motorcycle,1.0,No,Urban,24,20002.520256217802
63,8975,30.0,4.8,10.019363,76.325001,Fog,Medium,0,Snack,motorcycle,1.0,No,Urban,27,20002.520256211184
64,3106,22.0,4.7,22.609367,88.473187,Windy,Medium,2,Drinks,motorcycle,1.0,No,Urban,27,20002.520256211184
